name,state,category,rating,,,,,,,,,,Weighted_Average
Triveni Museum,Madhya Pradesh,Museum,4.5,,,,,,,,,,4.43
"Shree Kaal Bhairav Mandir, Ujjain",Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
Mahakal Lok,Madhya Pradesh,Religious destination,4.8,,,,,,,,,,4.74
Jai Maa Gadhkalika Mata Mandir,Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
"Jantar Mantar, Ujjain",Madhya Pradesh,Observatory,4.3,,,,,,,,,,4.34
Ujjain Temple,Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
Chamunda Mata Mandir,Madhya Pradesh,Hindu temple,4.6,,,,,,,,,,4.74
Do taalaab,Madhya Pradesh,Park,4.3,,,,,,,,,,4.34
Muskan yatri grah ( guest house),Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
Prashanti Dham,Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
bhaart rtn shrddhey attl bihaarii vaajpeyii anubhuuti udyaan Atal Park,Madhya Pradesh,Park,4.6,,,,,,,,,,4.34
Gandhi Bal Udhyan,Madhya Pradesh,Park,4.1,,,,,,,,,,4.34
Vikram Kirti Mandir,Madhya Pradesh,Museum,4.2,,,,,,,,,,4.43
Ujjain Tower,Madhya Pradesh,Historical landmark,4.5,,,,,,,,,,4.43
Shree Bada Ganesh Mandir,Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
"Shri Chaubis Khamba Mata Temple, Ujjain",Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
Nehru Park,Madhya Pradesh,Park,4.1,,,,,,,,,,4.34
Chakor Park Ground,Madhya Pradesh,Park,4.2,,,,,,,,,,4.34
Triveni Ghat,Madhya Pradesh,Hindu temple,4.3,,,,,,,,,,4.74
Nagchandreshwar Mandir,Madhya Pradesh,Hindu temple,4.7,,,,,,,,,,4.74
"Nagarkot Ki Rani Temple, Ujjain",Madhya Pradesh,Hindu temple,4.5,,,,,,,,,,4.74
Lotus lake,Madhya Pradesh,Park,4.4,,,,,,,,,,4.34
Yantra Mahal,Madhya Pradesh,Observatory,4.3,,,,,,,,,,4.34
raamghaatt ujjain,Madhya Pradesh,Hindu temple,4.6,,,,,,,,,,4.74
Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni,Tamil Nadu,Hindu temple,4.7,,,,,,,,,,4.69
Government Museum Chennai,Tamil Nadu,Art museum,4.3,,,,,,,,,,4.37
Vivekananda House,Tamil Nadu,Museum,4.5,,,,,,,,,,4.37
"Secretariat Park, Chennai",Tamil Nadu,Park,4.4,,,,,,,,,,4.41
Fort St.George Museum,Tamil Nadu,Museum,4.2,,,,,,,,,,4.37
Kannagi Statue,Tamil Nadu,Historical landmark,4.4,,,,,,,,,,4.37
Namgyal Monastery,Himachal Pradesh,Monastery,4.6,,,,,,,,,,4.59
Naddi Hill Point Mcleod Ganj,Himachal Pradesh,Scenic spot,4.5,,,,,,,,,,4.49
Naddi View Point,Himachal Pradesh,Scenic spot,4.5,,,,,,,,,,4.49
Tsuglagkhang Complex Dalai Lama Temple,Himachal Pradesh,Monastery,4.6,,,,,,,,,,4.59
Kalachakra temple,Himachal Pradesh,Buddhist temple,4.5,,,,,,,,,,4.59
Dip Tse Chok Ling,Himachal Pradesh,Buddhist temple,4.4,,,,,,,,,,4.59
Shiva Temple,Himachal Pradesh,Hindu temple,4.5,,,,,,,,,,4.59
Dasve View Point,Maharashtra,Scenic spot,4.4,,,,,,,,,,4.35
Lavasa Nature Trail,Maharashtra,Park,4.3,,,,,,,,,,4.35
Mahamaya Temple,Chhattisgarh,Hindu temple,4.6,,,,,,,,,,4.49
Oxygen Park,Chhattisgarh,Park,4.1,,,,,,,,,,4.21
Sanitary Park,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
Bhuri Singh Museum,Himachal Pradesh,Museum,4.3,,,,,,,,,,4.55
Nomadic Dalhousie,Himachal Pradesh,Hiking area,4.6,,,,,,,,,,4.49
Beeji's Park,Himachal Pradesh,Park,4.5,,,,,,,,,,4.49
St. John's Church,Himachal Pradesh,Anglican church,4.2,,,,,,,,,,4.59
Kalatop Forest,Himachal Pradesh,National forest,4.4,,,,,,,,,,4.49
Dalhousie Cantonment Forest,Himachal Pradesh,Nature preserve,4.5,,,,,,,,,,4.49
Chamera Lake view point,Himachal Pradesh,Scenic spot,4.4,,,,,,,,,,4.49
St. Francis Church,Himachal Pradesh,Catholic church,4.5,,,,,,,,,,4.59
Church Park,Himachal Pradesh,Park,4.1,,,,,,,,,,4.49
Kaziranga National Park,Assam,National park,4.5,,,,,,,,,,4.49
"Christ Church, Kasauli",Himachal Pradesh,Church,4.5,,,,,,,,,,4.59
Shirdi Sai Baba Mandir,Himachal Pradesh,Hindu temple,4.6,,,,,,,,,,4.59
SUN RISE SNACKS TEA MAGGI POINT,Himachal Pradesh,Nature preserve,4.5,,,,,,,,,,4.49
Gilbert Nature Trail,Himachal Pradesh,Hiking area,4.5,,,,,,,,,,4.49
"Manki Point, Sanjeevni Hanuman Temple, Kasauli",Himachal Pradesh,Hindu temple,4.6,,,,,,,,,,4.59
Timber Trail Kasauli,Himachal Pradesh,Nature preserve,4.3,,,,,,,,,,4.49
Leisure Valley,Chandigarh,Park,4.4,,,,,,,,,,4.37
Topiary Park,Chandigarh,Park,4.2,,,,,,,,,,4.37
Garden of Silence,Chandigarh,Garden,4.5,,,,,,,,,,4.37
Garden of Fragrance,Chandigarh,Park,4.6,,,,,,,,,,4.37
Government Museum and Art Gallery,Chandigarh,Art museum,4.4,,,,,,,,,,4.41
Bougainvillea Park,Chandigarh,Park,4.4,,,,,,,,,,4.37
Butterfly Park,Chandigarh,Park,4.1,,,,,,,,,,4.37
Shanti Kunj Park,Chandigarh,Park,4.4,,,,,,,,,,4.37
Le Corbusier Centre,Chandigarh,History museum,4.4,,,,,,,,,,4.41
Open Hand Monument,Chandigarh,Monument,4.5,,,,,,,,,,4.41
Hibiscus Garden,Chandigarh,Garden,4.4,,,,,,,,,,4.37
"Rag Doll museum, Rock garden",Chandigarh,Museum,4.5,,,,,,,,,,4.41
